mode,threads,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
rain,8,800,600,200,220.000,257,0.003177,0.008,15.557,15.566,314.76
rain,8,800,600,200,220.000,258,0.015575,0.009,1.045,1.054,64.21
rain,8,800,600,200,220.000,259,0.001064,0.009,13.215,13.224,939.85
rain,8,800,600,200,220.000,260,0.013234,0.010,3.550,3.560,75.56
rain,8,800,600,200,220.000,261,0.003568,0.009,8.463,8.472,280.27
rain,8,800,600,200,220.000,262,0.008483,0.009,9.126,9.135,117.88
rain,8,800,600,200,220.000,263,0.009154,0.017,7.727,7.744,109.24
rain,8,800,600,200,220.000,264,0.007756,0.013,7.838,7.850,128.93
rain,8,800,600,200,220.000,265,0.007871,0.015,14.452,14.467,127.05
rain,8,800,600,200,220.000,266,0.014487,0.017,2.538,2.555,69.03
rain,8,800,600,200,220.000,267,0.002575,0.019,8.160,8.179,388.35
rain,8,800,600,200,220.000,268,0.008203,0.017,8.672,8.689,121.91
rain,8,800,600,200,220.000,269,0.008705,0.015,13.405,13.420,114.88
rain,8,800,600,200,220.000,270,0.013442,0.014,2.751,2.764,74.39
rain,8,800,600,200,220.000,271,0.002785,0.012,8.540,8.552,359.07
rain,8,800,600,200,220.000,272,0.008565,0.011,8.062,8.073,116.75
rain,8,800,600,200,220.000,273,0.008088,0.014,15.396,15.410,123.64
rain,8,800,600,200,220.000,274,0.015449,0.027,1.063,1.091,64.73
rain,8,800,600,200,220.000,275,0.001097,0.008,8.494,8.502,911.58
rain,8,800,600,200,220.000,276,0.008524,0.018,8.219,8.238,117.32
rain,8,800,600,200,220.000,277,0.008248,0.010,13.856,13.866,121.24
rain,8,800,600,200,220.000,278,0.013884,0.009,2.861,2.870,72.03
rain,8,800,600,200,220.000,279,0.002884,0.010,8.306,8.316,346.74
rain,8,800,600,200,220.000,280,0.008326,0.009,8.326,8.334,120.11
rain,8,800,600,200,220.000,281,0.008344,0.009,14.918,14.927,119.85
rain,8,800,600,200,220.000,282,0.014944,0.011,1.640,1.651,66.92
rain,8,800,600,200,220.000,283,0.001661,0.009,8.414,8.423,602.05
rain,8,800,600,200,220.000,284,0.008433,0.010,8.364,8.374,118.58
rain,8,800,600,200,220.000,285,0.008384,0.009,13.965,13.974,119.27
rain,8,800,600,200,220.000,286,0.013993,0.019,2.670,2.689,71.46
