exec,mode,threads_req,threads_eff,width,height,N,speed,frame,dt_s,update_ms,render_ms,total_ms,fps
omp,rain,0,16,1280,720,300,160.000,286,0.005943,0.109,4.878,4.987,168.27
omp,rain,0,16,1280,720,300,160.000,287,0.005038,0.069,4.259,4.328,198.49
omp,rain,0,16,1280,720,300,160.000,288,0.004383,0.076,5.551,5.627,228.15
omp,rain,0,16,1280,720,300,160.000,289,0.005732,0.114,5.334,5.448,174.46
omp,rain,0,16,1280,720,300,160.000,290,0.005495,0.080,4.462,4.543,181.98
omp,rain,0,16,1280,720,300,160.000,291,0.004593,0.056,6.125,6.181,217.72
omp,rain,0,16,1280,720,300,160.000,292,0.006242,0.113,6.020,6.133,160.21
omp,rain,0,16,1280,720,300,160.000,293,0.006192,0.090,4.468,4.558,161.50
omp,rain,0,16,1280,720,300,160.000,294,0.004608,0.097,4.751,4.848,217.01
omp,rain,0,16,1280,720,300,160.000,295,0.004903,0.121,5.827,5.948,203.96
omp,rain,0,16,1280,720,300,160.000,296,0.006017,0.124,4.292,4.416,166.20
omp,rain,0,16,1280,720,300,160.000,297,0.004467,0.047,4.000,4.047,223.86
omp,rain,0,16,1280,720,300,160.000,298,0.004103,0.055,5.336,5.391,243.72
omp,rain,0,16,1280,720,300,160.000,299,0.005474,0.158,4.695,4.853,182.68
